date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:49	68/68	---M--	200	added ('OK')	text/plain	etag:%224dd495e2470e3b5b356bba2923a38907%22	https://www.dearmylove.org/robots.txt		(from )
21:36:49	105732/105732	---MCZ	200	added ('OK')	text/html	etag:W/%2210047f8e2465880827153fa50c1bc499%22	https://www.dearmylove.org/	C:/Users/ALPA%20STORE%20PALU/Downloads/dreamylove/www.dearmylove.org/index.html	(from )
21:36:50	8788/8788	---M--	200	added ('OK')	font/woff2	etag:%222e365d17b14dff1787d24b8aaf392ae8%22	https://www.dearmylove.org/_next/static/media/535dde6eb7bea7ba-s.p.woff2	C:/Users/ALPA%20STORE%20PALU/Downloads/dreamylove/www.dearmylove.org/_next/static/media/535dde6eb7bea7ba-s.p.woff2	(from https://www.dearmylove.org/)
21:36:50	13912/13912	---M--	200	added ('OK')	font/woff2	etag:%22268d01e94fa0e3a13787891fe19f739c%22	https://www.dearmylove.org/_next/static/media/155cae559bbd1a77.p.woff2	C:/Users/ALPA%20STORE%20PALU/Downloads/dreamylove/www.dearmylove.org/_next/static/media/155cae559bbd1a77.p.woff2	(from https://www.dearmylove.org/)
21:36:51	12884/12884	---M--	200	added ('OK')	font/woff2	etag:%22505653689a5c1346318b39106eefd5c1%22	https://www.dearmylove.org/_next/static/media/212182d849896ac2.p.woff2	C:/Users/ALPA%20STORE%20PALU/Downloads/dreamylove/www.dearmylove.org/_next/static/media/212182d849896ac2.p.woff2	(from https://www.dearmylove.org/)
21:36:51	13980/13980	---M--	200	added ('OK')	font/woff2	etag:%22b7d6b48d8d12946dc808ff39aed6c460%22	https://www.dearmylove.org/_next/static/media/4de1fea1a954a5b6.p.woff2	C:/Users/ALPA%20STORE%20PALU/Downloads/dreamylove/www.dearmylove.org/_next/static/media/4de1fea1a954a5b6.p.woff2	(from https://www.dearmylove.org/)
21:36:52	13284/13284	---M--	200	added ('OK')	font/woff2	etag:%22816d95a45d019ad06908231c9584ec03%22	https://www.dearmylove.org/_next/static/media/55c20a7790588da9.p.woff2	C:/Users/ALPA%20STORE%20PALU/Downloads/dreamylove/www.dearmylove.org/_next/static/media/55c20a7790588da9.p.woff2	(from https://www.dearmylove.org/)
21:36:52	14168/14168	---M--	200	added ('OK')	font/woff2	etag:%22017598645bcc882a3610effe171c2ca3%22	https://www.dearmylove.org/_next/static/media/6d664cce900333ee.p.woff2	C:/Users/ALPA%20STORE%20PALU/Downloads/dreamylove/www.dearmylove.org/_next/static/media/6d664cce900333ee.p.woff2	(from https://www.dearmylove.org/)
21:36:53	13052/13052	---M--	200	added ('OK')	font/woff2	etag:%22f0e76ca8439a38a1b3f7d4d6e7cd3e3d%22	https://www.dearmylove.org/_next/static/media/7ab5694dbcfea30c.p.woff2	C:/Users/ALPA%20STORE%20PALU/Downloads/dreamylove/www.dearmylove.org/_next/static/media/7ab5694dbcfea30c.p.woff2	(from https://www.dearmylove.org/)
21:36:53	13724/13724	---M--	200	added ('OK')	font/woff2	etag:%22cf5ec3859b05de1b9351ab934b937417%22	https://www.dearmylove.org/_next/static/media/7ff6869a1704182a.p.woff2	C:/Users/ALPA%20STORE%20PALU/Downloads/dreamylove/www.dearmylove.org/_next/static/media/7ff6869a1704182a.p.woff2	(from https://www.dearmylove.org/)
